Province,City,ISP,id
安徽,合肥,移动5G,26404
安徽,合肥,电信5G,17145
北京,北京,联通,5145
福建,福州,联通,4884
甘肃,兰州,移动,16145
甘肃,兰州,电信,3973
广东,广州,电信5G,27594
广东,广州,联通5G,26678
广东,深圳,联通,16192
广西,南宁,电信,27810
广西,南宁,移动,15863
广西,南宁,联通,5674
贵州,贵阳,电信,36996
贵州,贵阳,移动,39432
河北,石家庄,移动,17223
河南,郑州,移动5G,26331
河南,郑州,联通5G,36646
黑龙江,哈尔滨,移动,26656
湖北,武汉,电信,23844
湖北,武汉,电信5G,29353
湖北,武汉,联通,5485
湖南,长沙,电信5G,28225
湖南,长沙,联通5G,4870
湖南,长沙,移动5G,28491
吉林,长春,移动,39639
江苏,常州,移动5G,32291
江苏,南京,联通,13704
江苏,南京,移动5G,27249
江苏,南京,电信5G,26352
江苏,苏州,电信5G,5396
江苏,苏州,移动5G,40131
江苏,无锡,移动5G,26850
江苏,扬州,电信5G,5317
江苏,扬州,移动5G,34559
江苏,镇江,移动5G,17320
江苏,镇江,电信5G,36663
辽宁,沈阳,移动,16167
辽宁,沈阳,联通,37235
内蒙古,呼和浩特,移动5G,30232
内蒙古,呼和浩特,电信,24012
内蒙古,通辽,移动5G,30293
宁夏,银川,移动,26940
山东,济南,联通5G,26180
山东,济南,联通,5039
山西,太原,移动5G,26501
陕西,西安,联通,4863
上海,上海,联通5G,24447
上海,上海,电信,3633
上海,上海,移动5G,25637
四川,成都,移动,4575
四川,成都,移动,24337
四川,成都,电信,29071
天津,天津,联通5G,27154
天津,天津,移动-5G,17184
天津,天津,电信-5G,34115
天津,天津,电信,35722
浙江,杭州,电信,7509
浙江,杭州,移动,4647
浙江,杭州,联通,33995
浙江,宁波,移动5G,6715
重庆,重庆,移动,17584
重庆,重庆,联通,5726
